epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8767,1.94859,2.71152,2.23365,0.09932,0.08569,0.06328,0.0267,2.30794,4.24889,2.37173,0.00332308,0.00332308,0.0700923
2,109.967,1.84042,2.55188,2.16826,0.45703,0.09929,0.08827,0.03947,2.03763,2.65389,2.02275,0.00639282,0.00639282,0.0398287
3,156.433,1.76346,2.52236,2.12073,0.04336,0.26345,0.11252,0.035,2.06029,2.49171,2.05303,0.00919856,0.00919856,0.00930112
4,202.605,1.72638,2.46423,2.07253,0.02157,0.13462,0.0185,0.00883,2.02671,2.91885,2.0653,0.008812,0.008812,0.008812
5,248.494,1.66848,2.40415,2.0151,0.1174,0.12774,0.099,0.04837,1.8095,2.30277,1.8228,0.008416,0.008416,0.008416
6,295.208,1.62633,2.35631,2.00357,0.45285,0.124,0.11669,0.06145,1.80939,1.93762,1.834,0.00802,0.00802,0.00802
7,341.88,1.61539,2.35094,1.98503,0.63184,0.13088,0.11234,0.05947,1.76514,1.9388,1.79427,0.007624,0.007624,0.007624
8,388.268,1.59561,2.31498,1.94821,0.31173,0.12218,0.11931,0.06277,1.74198,2.09596,1.79849,0.007228,0.007228,0.007228
9,434.692,1.57586,2.29944,1.91189,0.09904,0.13688,0.11421,0.06363,1.66039,1.9341,1.732,0.006832,0.006832,0.006832
10,480.823,1.53027,2.24038,1.89935,0.47752,0.133,0.1197,0.06808,1.67298,1.9632,1.71837,0.006436,0.006436,0.006436
11,527.175,1.52309,2.23823,1.90674,0.32885,0.15343,0.14021,0.07926,1.62296,1.81972,1.67882,0.00604,0.00604,0.00604
12,573.173,1.5099,2.22998,1.89158,0.6479,0.13524,0.1282,0.07488,1.61809,1.89032,1.68743,0.005644,0.005644,0.005644
13,619.002,1.48806,2.18261,1.85448,0.93032,0.10759,0.12452,0.07226,1.59796,1.89208,1.66814,0.005248,0.005248,0.005248
14,664.505,1.46838,2.16213,1.82976,0.49548,0.15807,0.16364,0.09205,1.57076,1.73565,1.63876,0.004852,0.004852,0.004852
15,710.687,1.47236,2.16143,1.83874,0.56128,0.13991,0.15323,0.08744,1.58295,1.89827,1.63131,0.004456,0.004456,0.004456
16,756.405,1.51166,2.16519,1.94718,0.47306,0.16753,0.15088,0.08221,1.56047,1.767,1.64679,0.00406,0.00406,0.00406
17,801.188,1.4662,2.10217,1.88939,0.36831,0.15067,0.16628,0.09797,1.57542,1.70945,1.64001,0.003664,0.003664,0.003664
18,845.93,1.44745,2.06042,1.87505,0.43694,0.18369,0.14155,0.07598,1.6033,1.79722,1.67196,0.003268,0.003268,0.003268
19,889.994,1.43413,2.03366,1.85699,0.44025,0.19507,0.13185,0.0747,1.54723,1.75547,1.62123,0.002872,0.002872,0.002872
20,934.31,1.42253,2.01272,1.85567,0.50414,0.18296,0.15836,0.08179,1.55554,1.72109,1.64263,0.002476,0.002476,0.002476
21,978.452,1.39935,1.98273,1.83192,0.47072,0.25812,0.13534,0.0682,1.49601,1.79057,1.60933,0.00208,0.00208,0.00208
22,1022.76,1.38727,1.97169,1.80692,0.48632,0.25481,0.17041,0.08785,1.48897,1.69249,1.59429,0.001684,0.001684,0.001684
23,1067.04,1.36416,1.93472,1.81097,0.45931,0.20993,0.15514,0.08421,1.50371,1.61871,1.59149,0.001288,0.001288,0.001288
24,1111.7,1.35053,1.92552,1.7991,0.47519,0.26367,0.1675,0.08977,1.46341,1.5725,1.55905,0.000892,0.000892,0.000892
25,1155.89,1.33425,1.90316,1.78127,0.47308,0.27374,0.15724,0.08336,1.45448,1.65092,1.55652,0.000496,0.000496,0.000496
