epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7516,2.14585,3.80067,2.09217,0.00563,0.07626,0.01771,0.01429,1.41659,3.60089,1.22035,0.000328205,0.000328205,0.0675077
2,71.606,1.85985,3.32161,1.91346,0.01176,0.14286,0.04591,0.03175,1.38551,2.80728,1.24859,0.000639708,0.000639708,0.0344859
3,101.113,1.7204,2.90413,1.85629,0.74289,0.08277,0.0727,0.04447,1.43255,2.21818,1.36186,0.00092921,0.00092921,0.00144203
4,129.768,1.627,2.69111,1.82695,0.74273,0.10658,0.1446,0.08211,1.46066,2.0215,1.3977,0.000901,0.000901,0.000901
5,158.909,1.55507,2.5312,1.79948,0.421,0.11905,0.15521,0.0887,1.46136,1.88749,1.40326,0.000868,0.000868,0.000868
6,188.64,1.49837,2.40292,1.77864,0.36341,0.16247,0.16632,0.09512,1.46879,1.79628,1.39675,0.000835,0.000835,0.000835
7,216.72,1.46773,2.31999,1.76911,0.21617,0.16673,0.17126,0.09936,1.44399,1.72647,1.40646,0.000802,0.000802,0.000802
8,245.679,1.46814,2.27115,1.78091,0.2216,0.16003,0.18459,0.10967,1.42833,1.7648,1.41191,0.000769,0.000769,0.000769
9,275.071,1.44196,2.21449,1.77149,0.23785,0.1763,0.19771,0.11671,1.4165,1.7354,1.41482,0.000736,0.000736,0.000736
10,304.076,1.41548,2.17233,1.75303,0.2263,0.16953,0.19187,0.11352,1.43085,1.71902,1.41933,0.000703,0.000703,0.000703
11,332.791,1.39554,2.14329,1.74692,0.21145,0.18451,0.19426,0.1172,1.38346,1.68133,1.38471,0.00067,0.00067,0.00067
12,361.945,1.39923,2.11753,1.73022,0.23155,0.18863,0.20807,0.12502,1.3911,1.54153,1.37827,0.000637,0.000637,0.000637
13,391.957,1.37565,2.11137,1.72316,0.25096,0.1902,0.21215,0.1279,1.39774,1.595,1.38117,0.000604,0.000604,0.000604
14,420.921,1.3777,2.09106,1.71058,0.23697,0.19291,0.21004,0.12832,1.35203,1.5251,1.373,0.000571,0.000571,0.000571
15,450.74,1.37291,2.07155,1.69968,0.23756,0.19383,0.21536,0.13154,1.37343,1.57669,1.38796,0.000538,0.000538,0.000538
16,479.195,1.36212,2.05158,1.69791,0.2405,0.20228,0.21072,0.12941,1.34823,1.5286,1.36239,0.000505,0.000505,0.000505
17,507.851,1.34744,2.03978,1.68625,0.23121,0.20083,0.21442,0.1305,1.36041,1.46223,1.35767,0.000472,0.000472,0.000472
18,536.704,1.34529,2.03383,1.68941,0.23842,0.20149,0.21521,0.1299,1.35306,1.49005,1.35775,0.000439,0.000439,0.000439
19,565.468,1.34875,2.03351,1.68468,0.23886,0.20636,0.215,0.12833,1.34599,1.52317,1.34829,0.000406,0.000406,0.000406
20,593.814,1.35239,2.03988,1.68542,0.23605,0.19906,0.21249,0.12861,1.34591,1.61035,1.3693,0.000373,0.000373,0.000373
21,624.026,1.42555,2.13945,1.78407,0.20269,0.18854,0.19674,0.11709,1.32291,1.71243,1.36682,0.00034,0.00034,0.00034
22,650.437,1.35489,2.0486,1.73481,0.20888,0.18739,0.20521,0.1209,1.3361,1.59212,1.34854,0.000307,0.000307,0.000307
23,677.626,1.3444,2.04247,1.71453,0.20299,0.19413,0.20199,0.12445,1.32452,1.58945,1.36213,0.000274,0.000274,0.000274
24,704.968,1.32007,2.01575,1.69774,0.24234,0.18937,0.20802,0.1263,1.31864,1.60616,1.35139,0.000241,0.000241,0.000241
25,731.496,1.32044,2.00628,1.70516,0.22051,0.18638,0.20428,0.12753,1.3265,1.59241,1.36291,0.000208,0.000208,0.000208
26,757.333,1.31261,1.99219,1.69096,0.2124,0.19648,0.20678,0.12679,1.31136,1.58069,1.35157,0.000175,0.000175,0.000175
27,783.709,1.31246,1.99182,1.69147,0.2143,0.19406,0.20968,0.12844,1.30902,1.5692,1.34424,0.000142,0.000142,0.000142
28,810.718,1.30752,1.99238,1.69225,0.23015,0.19738,0.21339,0.12855,1.30315,1.54003,1.33427,0.000109,0.000109,0.000109
29,837.974,1.29481,1.97796,1.67357,0.21836,0.20061,0.21447,0.13086,1.30495,1.55012,1.34401,7.6e-05,7.6e-05,7.6e-05
30,864.244,1.29437,1.9802,1.67277,0.21785,0.19406,0.20972,0.12978,1.30696,1.56795,1.34548,4.3e-05,4.3e-05,4.3e-05
