epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9866,1.93267,3.80522,1.95484,0.00695,0.21799,0.00494,0.00272,1.48896,4.03942,1.33178,0.000234033,0.000234033,0.000234033
2,77.9466,1.7032,3.04683,1.88652,0.26709,0.13279,0.09543,0.05701,1.63891,2.19391,1.57829,0.000460351,0.000460351,0.000460351
3,107.291,1.63731,2.45906,1.92393,0.10765,0.14126,0.10715,0.05615,1.59038,2.34953,1.61916,0.000674887,0.000674887,0.000674887
4,136.623,1.57889,2.20472,1.91194,0.30134,0.15706,0.13692,0.0747,1.61408,1.77624,1.59602,0.000660986,0.000660986,0.000660986
5,166.105,1.53438,2.12281,1.87389,0.67429,0.15018,0.15332,0.0914,1.56223,1.78607,1.56862,0.000643314,0.000643314,0.000643314
6,195.598,1.4845,2.06845,1.83426,0.19718,0.18283,0.1769,0.10001,1.53503,1.7278,1.55393,0.000625642,0.000625642,0.000625642
7,225.943,1.43994,2.02695,1.79445,0.21366,0.16937,0.18275,0.10319,1.47486,1.68655,1.49822,0.000607971,0.000607971,0.000607971
8,254.904,1.4192,1.99889,1.77211,0.5465,0.17985,0.20096,0.12277,1.471,1.49666,1.51491,0.0005903,0.0005903,0.0005903
9,284.612,1.38892,1.95716,1.74109,0.37435,0.19104,0.19275,0.11396,1.41111,1.58335,1.4653,0.000572628,0.000572628,0.000572628
10,313.673,1.37981,1.94978,1.7499,0.4163,0.18828,0.21056,0.12451,1.44003,1.46436,1.44517,0.000554956,0.000554956,0.000554956
11,342.742,1.37483,1.93424,1.72112,0.38488,0.18949,0.20755,0.12201,1.42816,1.50275,1.47036,0.000537285,0.000537285,0.000537285
12,371.971,1.34389,1.90721,1.70937,0.57804,0.19884,0.21831,0.12792,1.41345,1.47904,1.45612,0.000519613,0.000519613,0.000519613
13,401.264,1.33702,1.89779,1.70967,0.5629,0.19915,0.21425,0.13032,1.37877,1.49132,1.44795,0.000501942,0.000501942,0.000501942
14,429.939,1.31953,1.87333,1.68613,0.57891,0.2056,0.22293,0.13383,1.32908,1.40826,1.37866,0.000484271,0.000484271,0.000484271
15,459.298,1.31791,1.85908,1.67294,0.57167,0.23186,0.22631,0.12929,1.44902,1.38933,1.42874,0.000466599,0.000466599,0.000466599
16,487.501,1.29701,1.83847,1.66425,0.59656,0.2152,0.23916,0.14591,1.37938,1.34323,1.41598,0.000448928,0.000448928,0.000448928
17,516.923,1.28912,1.83733,1.64903,0.47998,0.17903,0.1682,0.10353,1.43712,1.71306,1.46679,0.000431256,0.000431256,0.000431256
18,547.082,1.26621,1.80454,1.65958,0.58538,0.21107,0.23058,0.13832,1.34384,1.29926,1.37794,0.000413584,0.000413584,0.000413584
